model,split,accuracy,f1_macro,f1_fake,f1_real,precision,recall,roc_auc
TF-IDF + LR,val,0.9679,0.9677,0.9649,0.9705,0.9672,0.9682,0.9955
TF-IDF + LR,test,0.9659,0.9656,0.9627,0.9686,0.9651,0.9663,0.9945
