model,accuracy,f1_macro,f1_fake,f1_real,roc_auc
TF-IDF + LR (baseline),0.9659,0.9656,0.9627,0.9686,0.9945
BERT fine-tuned,0.9909,0.9908,0.9899,0.9917,0.9996
