model,precision,recall,f1,roc_auc,pr_auc
lightgbm,0.7391304347826086,0.8673469387755102,0.7981220657276995,0.9793827808275815,0.8795051832495727
xgboost,0.7592592592592593,0.8367346938775511,0.7961165048543689,0.9804490556774201,0.8576107598215138
random_forest,0.43,0.8775510204081632,0.5771812080536913,0.981661221044411,0.8247288622555864
logistic_regression,0.051714119697850086,0.9081632653061225,0.09785596481583288,0.974520301930564,0.7578469710562797
